,idx,AirQualityStation,img_path,s5p_path,Countrycode,Altitude,PopulationDensity,rural,suburban,urban,background,industrial,traffic,no2
45,45,STA_PL0241A,STA_PL0241A/S2A_MSIL2A_20200919T095031_N0214_R079_T33UYR_20200919T115531.npy,STA_PL0241A/l3_mean_europe_2018_2020_005dg.netcdf,PL,271.0,471.2,0,0,1,1,0,0,21.063310478962958
46,46,STA_NO0074A,STA_NO0074A/S2B_MSIL2A_20200614T104629_N0214_R051_T32VNN_20200614T143356.npy,STA_NO0074A/l3_mean_europe_2018_2020_005dg.netcdf,NO,180.0,7.9,0,1,0,0,0,1,24.531376010751785
47,47,STA_PL0193A,STA_PL0193A/S2A_MSIL2A_20200912T100031_N0214_R122_T33UXS_20200912T114911.npy,STA_PL0193A/l3_mean_europe_2018_2020_005dg.netcdf,PL,118.0,2228.5,0,1,0,1,0,0,16.173462454639814
48,48,STA_ES1421A,STA_ES1421A/S2B_MSIL2A_20200707T105619_N0214_R094_T30TXK_20200707T135135.npy,STA_ES1421A/l3_mean_europe_2018_2020_005dg.netcdf,ES,915.0,9.0,0,0,1,1,0,0,10.236262434864994
49,49,STA.DE_DEHE011,STA.DE_DEHE011/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMA_20200807T132026.npy,STA.DE_DEHE011/l3_mean_europe_2018_2020_005dg.netcdf,DE,108.0,300.3,0,0,1,1,0,0,25.092177720626005
50,50,STA.CZ_ZZLN,STA.CZ_ZZLN/S2A_MSIL2A_20200922T100031_N0214_R122_T33UXQ_20200924T114821.npy,STA.CZ_ZZLN/l3_mean_europe_2018_2020_005dg.netcdf,CZ,258.0,149.1,0,1,0,1,0,0,12.406200058663847
51,51,STA_ES1649A,STA_ES1649A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1649A/l3_mean_europe_2018_2020_005dg.netcdf,ES,350.0,62.3,1,0,0,0,1,0,7.897802448610919
52,52,STA_ES2075A,STA_ES2075A/S2B_MSIL2A_20200623T112119_N0214_R037_T29TQJ_20200623T143258.npy,STA_ES2075A/l3_mean_europe_2018_2020_005dg.netcdf,ES,89.0,97.0,0,1,0,0,1,0,13.894320674131365
53,53,STA-FR41003,STA-FR41003/S2A_MSIL2A_20200809T102031_N0214_R065_T32TMM_20200809T130506.npy,STA-FR41003/l3_mean_europe_2018_2020_005dg.netcdf,FR,30.0,39.9,0,1,0,0,1,0,7.403181695298449
54,54,STA-PT03085,STA-PT03085/S2A_MSIL2A_20200830T113321_N0214_R080_T29SMC_20200830T142737.npy,STA-PT03085/l3_mean_europe_2018_2020_005dg.netcdf,PT,10.0,1010.7,0,0,1,1,0,0,18.51295197865016
55,55,STA-LT00052,STA-LT00052/S2A_MSIL2A_20200807T094041_N0214_R036_T35ULA_20200807T110442.npy,STA-LT00052/l3_mean_europe_2018_2020_005dg.netcdf,LT,130.0,26.5,1,0,0,1,0,0,4.378308173545103
56,56,STA.IT0934A,STA.IT0934A/S2A_MSIL2A_20201019T095041_N0214_R079_T33TVF_20201019T115444.npy,STA.IT0934A/l3_mean_europe_2018_2020_005dg.netcdf,IT,159.0,133.9,0,0,1,0,0,1,27.550585280609173
57,57,STA.IT1857A,STA.IT1857A/S2B_MSIL2A_20201216T100329_N0214_R122_T33TUH_20201216T122746.npy,STA.IT1857A/l3_mean_europe_2018_2020_005dg.netcdf,IT,257.0,157.8,0,0,1,0,0,1,13.537671232876711
58,58,STA.IT2287A,STA.IT2287A/S2A_MSIL2A_20200810T095041_N0214_R079_T33SUC_20200810T114918.npy,STA.IT2287A/l3_mean_europe_2018_2020_005dg.netcdf,IT,10.0,252.1,0,0,1,1,0,0,24.66332542340225
59,59,STA_ES0629A,STA_ES0629A/S2A_MSIL2A_20200801T105631_N0214_R094_T30STF_20200801T115206.npy,STA_ES0629A/l3_mean_europe_2018_2020_005dg.netcdf,ES,30.0,170.9,0,0,1,0,1,0,12.969146137287732
60,60,STA-RO0152A,STA-RO0152A/S2B_MSIL2A_20200905T092029_N0214_R093_T34TFQ_20200905T113748.npy,STA-RO0152A/l3_mean_europe_2018_2020_005dg.netcdf,RO,123.0,57.3,0,0,1,0,1,0,13.62559258437508
61,61,STA_ES1093A,STA_ES1093A/S2B_MSIL2A_20200711T103629_N0214_R008_T31TEE_20200711T140018.npy,STA_ES1093A/l3_mean_europe_2018_2020_005dg.netcdf,ES,6.0,252.0,1,0,0,1,0,0,5.727884837822151
62,62,STA.09.SCHA,STA.09.SCHA/S2A_MSIL2A_20200922T100031_N0214_R122_T33UWP_20200924T114821.npy,STA.09.SCHA/l3_mean_europe_2018_2020_005dg.netcdf,AT,319.0,4780.6,0,1,0,1,0,0,13.488339444499571
63,63,STA_PL0182A,STA_PL0182A/S2A_MSIL2A_20200408T101021_N0214_R022_T33UVU_20200408T161405.npy,STA_PL0182A/l3_mean_europe_2018_2020_005dg.netcdf,PL,2.0,69.2,1,0,0,1,0,0,7.502474076276879
64,64,STA-RO0113A,STA-RO0113A/S2A_MSIL2A_20200828T090601_N0214_R050_T35TNL_20200828T114933.npy,STA-RO0113A/l3_mean_europe_2018_2020_005dg.netcdf,RO,28.0,63.5,0,0,1,0,0,1,25.51183834644682
65,65,STA.DE_DETH036,STA.DE_DETH036/S2B_MSIL2A_20200801T100559_N0214_R022_T33UUS_20200801T135302.npy,STA.DE_DETH036/l3_mean_europe_2018_2020_005dg.netcdf,DE,265.0,117.2,0,0,1,1,0,0,17.856698431648365
66,66,STA.IT1152A,STA.IT1152A/S2A_MSIL2A_20200408T101021_N0214_R022_T32TPQ_20200408T161405.npy,STA.IT1152A/l3_mean_europe_2018_2020_005dg.netcdf,IT,25.0,262.7,0,1,0,1,0,0,28.60902366863905
67,67,STA.03.0065,STA.03.0065/S2A_MSIL2A_20200922T100031_N0214_R122_T33UWP_20200924T114821.npy,STA.03.0065/l3_mean_europe_2018_2020_005dg.netcdf,AT,260.0,123.7,0,1,0,1,0,0,16.46115564782635
68,68,STA.IT1921A,STA.IT1921A/S2A_MSIL2A_20200408T101021_N0214_R022_T32TPQ_20200408T161405.npy,STA.IT1921A/l3_mean_europe_2018_2020_005dg.netcdf,IT,4.0,262.7,1,0,0,1,0,0,23.4331486388822
69,69,STA-RO0181A,STA-RO0181A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TFT_20200710T120649.npy,STA-RO0181A/l3_mean_europe_2018_2020_005dg.netcdf,RO,275.0,55.2,0,0,1,0,1,0,14.728105609284835
70,70,STA.DE_DEBY118,STA.DE_DEBY118/S2B_MSIL2A_20200821T100559_N0214_R022_T33UUP_20200821T130423.npy,STA.DE_DEBY118/l3_mean_europe_2018_2020_005dg.netcdf,DE,300.0,801.9,0,0,1,1,0,0,30.294432093656727
71,71,STA.DE_DEHE042,STA.DE_DEHE042/S2A_MSIL2A_20200921T103031_N0214_R108_T32UMB_20200921T151006.npy,STA.DE_DEHE042/l3_mean_europe_2018_2020_005dg.netcdf,DE,172.0,314.1,1,0,0,1,0,0,16.357924228721913
72,72,STA-SI0038A,STA-SI0038A/S2B_MSIL2A_20200410T100029_N0214_R122_T33TUL_20200410T134801.npy,STA-SI0038A/l3_mean_europe_2018_2020_005dg.netcdf,SI,56.0,109.8,0,0,1,1,0,0,18.39889550401713
73,73,STA.IT1617A,STA.IT1617A/S2B_MSIL2A_20201031T094139_N0214_R036_T33TYE_20201031T123521.npy,STA.IT1617A/l3_mean_europe_2018_2020_005dg.netcdf,IT,20.0,212.4,0,1,0,1,0,0,8.0424153458766
74,74,STA-RO0107A,STA-RO0107A/S2B_MSIL2A_20200918T093039_N0214_R136_T34TET_20200918T120935.npy,STA-RO0107A/l3_mean_europe_2018_2020_005dg.netcdf,RO,139.0,75.0,0,0,1,1,0,0,25.97757939973172
75,75,STA_ES0651A,STA_ES0651A/S2B_MSIL2A_20200813T104629_N0214_R051_T30SXG_20200813T140017.npy,STA_ES0651A/l3_mean_europe_2018_2020_005dg.netcdf,ES,60.0,131.1,0,1,0,0,1,0,20.51015406162465
76,76,STA_PL0048A,STA_PL0048A/S2A_MSIL2A_20200601T095041_N0214_R079_T34UCF_20200601T112207.npy,STA_PL0048A/l3_mean_europe_2018_2020_005dg.netcdf,PL,70.0,1857.0,0,0,1,1,0,0,10.863844678487409
77,77,STA-FR14022,STA-FR14022/S2B_MSIL2A_20200721T103629_N0214_R008_T31UEQ_20200721T142714.npy,STA-FR14022/l3_mean_europe_2018_2020_005dg.netcdf,FR,86.0,69.6,0,1,0,1,0,0,13.25079868105708
78,78,STA_ES1941A,STA_ES1941A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1941A/l3_mean_europe_2018_2020_005dg.netcdf,ES,630.0,827.3,0,0,1,1,0,0,37.15241039734341
79,79,STA.DE_DEBY033,STA.DE_DEBY033/S2B_MSIL2A_20200406T101559_N0214_R065_T32UQU_20200406T134514.npy,STA.DE_DEBY033/l3_mean_europe_2018_2020_005dg.netcdf,DE,390.0,1087.9,0,0,1,0,0,1,24.49973458567125
80,80,STA.DE_DEUB046,STA.DE_DEUB046/S2B_MSIL2A_20200821T100559_N0214_R022_T33UUQ_20200821T130423.npy,STA.DE_DEUB046/l3_mean_europe_2018_2020_005dg.netcdf,DE,858.0,79.6,1,0,0,1,0,0,3.3157634214328136
81,81,STA-SI0033A,STA-SI0033A/S2B_MSIL2A_20200914T095029_N0214_R079_T33TWM_20200914T121343.npy,STA-SI0033A/l3_mean_europe_2018_2020_005dg.netcdf,SI,188.0,86.3,1,0,0,1,0,0,12.624912708285274
82,82,STA-FR23123,STA-FR23123/S2B_MSIL2A_20200806T105619_N0214_R094_T30UXU_20200806T131026.npy,STA-FR23123/l3_mean_europe_2018_2020_005dg.netcdf,FR,51.0,58.8,0,0,1,1,0,0,12.82199426571576
83,83,STA_ES1563A,STA_ES1563A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1563A/l3_mean_europe_2018_2020_005dg.netcdf,ES,589.0,827.3,0,0,1,0,0,1,28.308694649446487
84,84,STA.DE_DESH022,STA.DE_DESH022/S2A_MSIL2A_20200815T104031_N0214_R008_T32UNF_20200815T115046.npy,STA.DE_DESH022/l3_mean_europe_2018_2020_005dg.netcdf,DE,15.0,1561.6,0,0,1,0,0,1,28.19760769855023
85,85,STA.IE.IE002CM,STA.IE.IE002CM/S2A_MSIL2A_20200415T114351_N0214_R123_T29UPV_20200415T142447.npy,STA.IE.IE002CM/l3_mean_europe_2018_2020_005dg.netcdf,IE,1.0,104.2,0,1,0,1,0,0,13.479184916306918
86,86,STA-FR30019,STA-FR30019/S2A_MSIL2A_20200623T103031_N0214_R108_T32ULU_20200623T142851.npy,STA-FR30019/l3_mean_europe_2018_2020_005dg.netcdf,FR,325.0,61.7,0,0,1,1,0,0,13.297826083468811
87,87,STA-BG0058A,STA-BG0058A/S2A_MSIL2A_20200513T092031_N0214_R093_T34TFM_20200513T121338.npy,STA-BG0058A/l3_mean_europe_2018_2020_005dg.netcdf,BG,414.0,47.6,0,0,1,1,0,0,18.327800881149727
88,88,STA.IT1340A,STA.IT1340A/S2B_MSIL2A_20200722T100559_N0214_R022_T32TPR_20200722T141538.npy,STA.IT1340A/l3_mean_europe_2018_2020_005dg.netcdf,IT,30.0,318.0,0,0,1,0,0,1,29.695030024274946
89,89,STA.IT0839A,STA.IT0839A/S2A_MSIL2A_20190914T102021_N0213_R065_T32TNR_20190914T140933.npy,STA.IT0839A/l3_mean_europe_2018_2020_005dg.netcdf,IT,79.0,205.7,0,1,0,1,0,0,25.82496375525334
90,90,STA.DE_DEHE045,STA.DE_DEHE045/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMA_20200807T132026.npy,STA.DE_DEHE045/l3_mean_europe_2018_2020_005dg.netcdf,DE,209.0,155.0,0,0,1,1,0,0,17.080499887486287
91,91,STA-RO0110A,STA-RO0110A/S2B_MSIL2A_20200918T093039_N0214_R136_T34TET_20200918T120935.npy,STA-RO0110A/l3_mean_europe_2018_2020_005dg.netcdf,RO,213.0,75.0,0,0,1,0,1,0,17.361838388719384
92,92,STA_ES1948A,STA_ES1948A/S2A_MSIL2A_20200118T104351_N0213_R008_T31TCF_20200118T120816.npy,STA_ES1948A/l3_mean_europe_2018_2020_005dg.netcdf,ES,96.0,127.8,1,0,0,0,1,0,3.1517878008880578
93,93,STA-RO0075A,STA-RO0075A/S2B_MSIL2A_20200829T093039_N0214_R136_T34TFS_20200829T115846.npy,STA-RO0075A/l3_mean_europe_2018_2020_005dg.netcdf,RO,350.0,106.4,0,1,0,1,0,0,38.56147380556786
94,94,STA_PL0705A,STA_PL0705A/S2A_MSIL2A_20200919T095031_N0214_R079_T33UYR_20200919T115531.npy,STA_PL0705A/l3_mean_europe_2018_2020_005dg.netcdf,PL,333.0,286.3,0,0,1,0,0,1,32.36145871913053
95,95,STA-PT02018,STA-PT02018/S2A_MSIL2A_20200718T112121_N0214_R037_T29TNE_20200718T123331.npy,STA-PT02018/l3_mean_europe_2018_2020_005dg.netcdf,PT,32.0,221.0,0,1,0,1,0,0,10.927625960717334
96,96,STA.IT1423A,STA.IT1423A/S2A_MSIL2A_20200803T100031_N0214_R122_T33TVH_20200803T114800.npy,STA.IT1423A/l3_mean_europe_2018_2020_005dg.netcdf,IT,4.0,259.7,0,0,1,1,0,0,12.519977168949774
97,97,Station_GB1090A,Station_GB1090A/S2A_MSIL2A_20200625T110631_N0214_R137_T30UWD_20200625T122333.npy,Station_GB1090A/l3_mean_europe_2018_2020_005dg.netcdf,GB,134.0,609.4,0,0,1,1,0,0,16.09197524659673
98,98,STA-LT00044,STA-LT00044/S2A_MSIL2A_20200807T094041_N0214_R036_T34UFF_20200807T110442.npy,STA-LT00044/l3_mean_europe_2018_2020_005dg.netcdf,LT,73.0,71.8,0,0,1,1,0,0,12.707404115715551
99,99,STA_ES0824A,STA_ES0824A/S2B_MSIL2A_20200623T112119_N0214_R037_T29TQJ_20200623T143258.npy,STA_ES0824A/l3_mean_europe_2018_2020_005dg.netcdf,ES,218.0,97.0,0,1,0,0,1,0,10.945343897117924
100,100,STA-FR07054,STA-FR07054/S2A_MSIL2A_20200318T104021_N0214_R008_T31TEK_20200318T113132.npy,STA-FR07054/l3_mean_europe_2018_2020_005dg.netcdf,FR,629.0,45.4,0,0,1,1,0,0,13.225940748959166
101,101,STA.DE_DEBE061,STA.DE_DEBE061/S2B_MSIL2A_20200801T100559_N0214_R022_T32UQD_20200801T135302.npy,STA.DE_DEBE061/l3_mean_europe_2018_2020_005dg.netcdf,DE,45.0,4289.8,0,0,1,0,0,1,43.47794780001495
102,102,STA.IT0459A,STA.IT0459A/S2B_MSIL2A_20200729T100029_N0214_R122_T33TUJ_20200729T134154.npy,STA.IT0459A/l3_mean_europe_2018_2020_005dg.netcdf,IT,15.0,240.8,0,1,0,1,0,0,29.44777481558768
103,103,STA.IT1871A,STA.IT1871A/S2B_MSIL2A_20200821T100559_N0214_R022_T32TQR_20200821T130423.npy,STA.IT1871A/l3_mean_europe_2018_2020_005dg.netcdf,IT,12.0,445.9,0,1,0,0,1,0,23.16912487708948
104,104,STA-CH0046A,STA-CH0046A/S2A_MSIL2A_20190219T103051_N0211_R108_T31TGM_20190219T133225.npy,STA-CH0046A/l3_mean_europe_2018_2020_005dg.netcdf,CH,422.0,2046.8,0,1,0,1,0,0,18.68632238612007
105,105,STA_ES1435A,STA_ES1435A/S2B_MSIL2A_20201111T105259_N0214_R051_T31TBE_20201111T134038.npy,STA_ES1435A/l3_mean_europe_2018_2020_005dg.netcdf,ES,1125.0,86.2,0,1,0,1,0,0,6.286750245821043
106,106,STA-RO0071A,STA-RO0071A/S2B_MSIL2A_20200823T090559_N0214_R050_T35TMK_20200823T110634.npy,STA-RO0071A/l3_mean_europe_2018_2020_005dg.netcdf,RO,30.0,314.7,0,1,0,1,0,0,25.90245352376192
107,107,STA_ES1549A,STA_ES1549A/S2A_MSIL2A_20200719T105031_N0214_R051_T30SWF_20200719T134605.npy,STA_ES1549A/l3_mean_europe_2018_2020_005dg.netcdf,ES,97.0,80.3,0,0,1,1,0,0,16.9438202247191
